index,CPIAUCSL_QoQ,CPILFESL_QoQ,PPIACO_QoQ,CL=F_QoQ,GDP_QoQ,GDPC1_QoQ,INDPRO_QoQ,UNRATE_QoQ,PAYEMS_QoQ,MANEMP_QoQ,ICSA_QoQ,IC4WSA_QoQ,RRSFS_QoQ,^GSPC_QoQ,^VIX_QoQ,DX-Y.NYB_QoQ,M2SL_QoQ,TB6SMFFM,T10Y2Y,T2Y3M,T5Y2Y,prev1_decision,prev2_decision,unemp_idx,b_idx,ir_idx,pmi_QoQ
2001-12-31,-0.39303761931498427,0.6948156066274747,-3.900975243810967,-15.322236900674923,0.5892138342822539,0.2747754478590769,-0.9282220786265283,14.000000000000012,-0.5919719496368492,-2.506825515016131,-18.568665377176018,-8.6858432036097,3.1661247871187514,10.292622118399786,-25.461951113095914,2.881561990072501,1.5946819039082794,-0.04,2.0,1.39,1.2799999999999998,2.09,2.49,124.0,57.0,106.0,-1.9480519480519651
2002-03-31,0.6200676437429609,0.424628450106157,1.3270882123341377,32.207657966247226,1.1541241399882551,0.8363586564324121,1.4509662864050643,0.0,-0.1992624997137038,-1.7120672097759693,13.776722090261284,4.076590487955523,-0.4214501888397004,-0.06009524011035827,-26.89075556172461,1.6017154146312995,1.130369253956287,0.27,1.7,1.73,1.1800000000000002,1.74,1.73,140.0,80.0,71.0,15.673289183222971
2002-06-30,0.6162464985994376,0.5285412262156397,0.8474576271186418,2.401834079717724,0.9640654703945817,0.6127065840058066,1.7358473630177285,1.754385964912264,-0.03748412661984668,-0.9454121608495791,-19.41544885177453,-7.5370919881305625,0.47535321821035037,-13.732907321186548,45.97701250223209,-10.546283802535939,0.9323543309948779,0.04,1.96,1.2600000000000002,1.2000000000000002,1.75,1.75,130.0,88.0,55.0,2.290076335877877
2002-09-30,0.6681514476614803,0.5783385909569061,1.0695187165775444,13.440054433996075,0.8870755897151472,0.4065114300350947,-0.04003370330504241,-1.724137931034475,-0.13009573515568862,-1.1636268549388817,5.958549222797926,5.134788189987161,-0.30498665683376114,-17.633506772527042,56.25983945981483,0.7162398754678057,1.9627262086972186,-0.15,1.91,0.3400000000000001,0.94,1.74,1.73,121.0,73.0,74.0,-5.783582089552242
2002-12-31,0.5530973451327359,0.4181913225300482,0.45351473922901064,2.3958039581084334,0.7045950306080462,0.12360505255195608,-0.2721837477506428,5.263157894736836,-0.02911810456464048,-1.3757523645743786,0.0,1.1599511599511558,1.3590857515405785,7.916295715351351,-27.891151853117336,-4.6972996570092125,2.0662251655629182,0.0,2.22,0.6300000000000001,1.1899999999999997,1.34,1.75,115.0,73.0,72.0,2.17821782178218
2003-03-31,1.1551155115511413,0.20822488287350893,6.245297215951839,-0.5128200112166748,1.0188191710784666,0.5266419858050542,0.6748489334067909,-1.6666666666666607,-0.17629249223929389,-1.2742270806786915,6.601466992665039,2.655401327700657,-0.3420188388676859,-3.5961917647978625,1.8518475323394457,-2.739323473074229,1.541655852582413,-0.12,2.32,0.42000000000000015,1.2099999999999997,1.26,1.24,103.0,70.0,76.0,-10.271317829457372
2003-06-30,-0.4350190320826619,0.2597402597402487,-2.2662889518413554,-2.7384032100479905,1.2406962547147904,0.885621672871495,-0.5285679435080737,6.7796610169491345,-0.03839213729028845,-1.5488078255553317,-1.6055045871559592,-0.8230452674897082,1.5558479278116266,14.893066143391675,-33.03601813649746,-4.371082483723033,2.279930477456271,-0.3,2.22,0.29000000000000004,1.04,1.26,1.26,126.0,86.0,71.0,5.831533477321815
2003-09-30,1.0922992900054718,0.36269430051811824,0.36231884057971175,-3.2792307174732804,2.244393634589459,1.663199956971062,0.9526113681456838,-3.1746031746031744,0.05223336021815683,-1.01428275719313,-9.790209790209792,-6.224066390041494,1.0015827329336702,2.203178112172899,16.393436375756277,-1.9845928599081963,1.2911502065840352,0.0,2.46,0.75,1.4700000000000002,1.03,1.01,120.0,86.0,55.0,6.938775510204076
2003-12-31,0.2160994057266441,0.25813113061434745,0.7220216606498298,11.369861671503623,1.777218661656188,1.160721398176312,0.8659264033687109,-6.5573770491803245,0.2579595095698384,-0.32761745434267686,-9.819121447028422,-9.418457648546141,0.26500484027105475,11.641924621515475,-19.410211182620827,-6.386645560181215,-0.09704106975443327,0.01,2.43,0.9999999999999999,1.36,1.0,1.01,124.0,93.0,51.0,14.69465648854962
2004-03-31,0.8625336927223781,0.6694129763130885,2.580645161290329,9.963092921777704,1.2844885686098317,0.5666514539569345,0.39447474971032737,1.754385964912264,0.4211687048679469,-0.0839219525840984,-2.5787965616045794,-4.535938590369848,2.2103814914493203,1.2851568842561667,-8.574548009924875,0.7938362355520256,1.3829436944353013,-0.01,2.26,0.6300000000000001,1.21,1.01,1.0,127.0,97.0,49.0,0.8319467554076532
2004-06-30,0.9620523784072743,0.5626598465473087,2.8651292802236217,3.607385279854891,1.5881984463050003,0.7749523237421174,0.35477777489603124,-3.4482758620689724,0.4994700279855824,0.32897039266466255,2.35294117647058,2.0467836257309857,-1.5633394536577305,1.2990477255798716,-14.336915479957401,1.358295209583238,1.9503085417343247,0.57,1.92,1.4699999999999998,1.1700000000000004,1.0,1.0,119.0,97.0,29.0,-0.1650165016501725
2004-09-30,0.47644256220222836,0.45778229908444157,0.33967391304348116,33.98110772427305,1.5891599103924348,0.9485938887930923,0.9370581628620478,-3.5714285714285587,0.22535168520569915,-0.013952839402819883,0.8620689655172376,-3.3667621776504286,2.562780013554611,-2.301813624380078,-6.973500623147022,-1.6216243152232024,1.1818862394673557,0.26,1.51,0.8499999999999999,0.8300000000000001,1.43,1.26,124.0,99.0,28.0,-5.123966942148761
2004-12-31,1.001053740779767,0.5569620253164542,1.6926201760324888,-12.46977982034343,1.8033438743137342,1.0202081286209586,1.9269154736796024,0.0,0.40729497089126987,-0.32793748255651733,-8.83190883190883,-3.558191252779841,1.2373834836204578,8.733342759471707,-0.37481401921246604,-7.451925470178022,1.1397446594146876,0.27,1.16,0.7899999999999996,0.5900000000000003,1.93,1.76,119.0,95.0,31.0,-0.348432055749126
2005-03-31,0.7303077725612894,0.7552870090634434,2.330226364846877,27.502878142943942,1.916403759048113,1.1093633541958248,0.9346723675052182,-3.703703703703709,0.3943330644127663,-0.11900595029751271,6.875000000000009,2.0753266717909336,-0.2148773697161488,-2.585160488228855,5.492855515470296,3.9703143414407505,0.3688888197114215,0.37,0.7,0.9300000000000002,0.43999999999999995,2.5,2.28,110.0,89.0,28.0,-3.4965034965035
2005-06-30,0.31071983428274663,0.2498750624687629,0.39037085230970714,1.9855567578048738,1.2169383532255829,0.4926244548107306,0.7401915289652727,-3.8461538461538547,0.5970620043258767,-0.2873563218390829,-9.064327485380119,-1.882530120481929,2.803473227206954,0.9097138333640231,-14.122684959073627,6.007617414261435,0.9831896284349773,0.09,0.28,0.6000000000000001,0.1299999999999999,3.0,2.79,100.0,82.0,30.0,-5.072463768115954
2005-09-30,2.6329375322664106,0.34895314057827864,5.119896305897598,17.238934272158456,1.702328066304637,0.7838140345072908,-1.9268479221973167,0.0,0.45316431125743684,-0.37955999156533693,15.434083601286176,17.498081350729077,-2.5772412200931294,3.146072366314434,-0.9966767935156495,0.4601010323270316,1.5126385945514187,0.05,0.16,0.45999999999999996,0.05999999999999961,3.5,3.26,94.0,74.0,26.0,8.3969465648855
2005-12-31,-0.35211267605634866,0.7451564828613977,0.4932182490752224,-7.850237191940435,1.3814726141060607,0.5555165396517348,2.8295569521938457,-1.9999999999999907,0.4488904083119083,0.11289070768363274,-15.877437325905298,-17.63553233180928,1.3599898275304056,1.5852718923087927,1.258386053441285,1.843165312503059,1.1754383310893513,0.02,-0.02,0.43000000000000016,-0.010000000000000675,4.0,3.78,96.0,73.0,29.0,-2.992957746478864
2006-03-31,0.8076728924785392,0.7396449704142105,-0.4907975460122782,9.157923089854748,2.0635829352357637,1.3453837684874737,0.42767190318080406,-4.081632653061229,0.6496100859734621,0.14800197335964604,-2.3178807947019875,-4.2823156225218035,1.5572877760607673,3.731501061217335,-5.633797586532319,-1.5794612711774958,1.2186004784688897,0.03,0.04,0.10000000000000053,-0.010000000000000675,4.49,4.29,98.0,72.0,32.0,-1.4519056261343088
2006-06-30,1.0515773660490835,0.7831620166421915,2.404438964241673,11.031076701925846,1.1343641813170935,0.25875276349554,0.6591029897968559,-2.1276595744680993,0.21979476021052324,0.0,4.745762711864399,1.2427506213753103,-0.42504211117350144,-1.9052139626634768,14.837572690452472,-5.026191872845809,1.2201787428909094,-0.02,-0.01,0.20000000000000018,-0.04999999999999982,4.94,4.79,86.0,72.0,29.0,-4.23572744014733
2006-09-30,0.49554013875123815,0.6313744536182497,-0.4214328717639937,-14.96350771452618,0.848981315489139,0.1499559256315619,0.1865916530526146,-2.1739130434782483,0.36234275864597265,-0.6333567909922566,0.0,3.6006546644844484,-0.19228275150414698,5.168479525880509,-8.409788898210135,0.8800750871355234,1.4667036383006593,-0.36,-0.07,-0.16000000000000014,-0.09999999999999964,5.25,5.24,89.0,72.0,35.0,0.3846153846153832
2006-12-31,0.14792899408282434,0.4343629343629418,0.12091898428052694,-2.9566056507121075,1.2211225976172635,0.8594498006118778,0.8948385783364321,-2.2222222222222143,0.30695247352534594,-0.7861189801699697,10.355987055016191,2.1327014218009532,1.17908272222913,6.172105756563173,-3.5058358820373337,-2.6171920065742205,1.8381612634122302,-0.36,-0.11,-0.2999999999999998,-0.13999999999999968,5.25,5.25,102.0,79.0,50.0,-1.532567049808442
2007-03-31,1.0773018217626884,0.6333493512734378,2.2342995169082336,7.895173742435513,1.2542487086489862,0.30083566670564554,0.7818204519915106,0.0,0.38834527027520327,-0.321222071525451,-9.97067448680352,-5.1044083526682105,-0.13345319924730203,0.18049329727884977,26.643596988798212,-0.9436226755954569,1.2442799841816843,-0.37,0.07,-0.5099999999999998,-0.08999999999999986,5.26,5.25,101.0,79.0,54.0,2.7237354085603016
2007-06-30,0.947936557421758,0.46509851111173894,2.6580035440047167,7.3022580203905285,1.3114489093746018,0.6117619579946387,0.7527612810123818,4.545454545454519,0.20830006822372127,-0.4368375823546211,3.2573289902280145,2.933985330073341,-0.670394185071288,5.805638210999686,10.860650011109918,-1.2178971813743389,1.668410406640164,-0.49,0.16,0.2400000000000002,0.04999999999999982,5.25,5.25,93.0,75.0,52.0,2.2727272727272707
2007-09-30,0.633583292316886,0.5523023689113726,-0.17261219792865656,15.534809436226826,1.125080387682842,0.5760257959612325,0.2834104079791677,2.1739130434782705,0.02317681738841504,-0.8559303747392666,0.0,-0.7917656373713333,0.643396322002121,1.556525412849541,10.905733257462447,-5.126949514305956,1.7178688547083487,-0.89,0.62,0.019999999999999574,0.1900000000000004,5.02,5.26,93.0,73.0,62.0,-0.3703703703703764
2007-12-31,1.3896148110497775,0.762925777815604,2.9394812680115345,17.536124237854732,1.0363896417475926,0.6282367318126258,0.3272423358981591,6.382978723404253,0.21288766916967017,-0.3264654672083589,13.564668769716093,11.492418196328803,-0.9927626206695961,-3.824464689598006,25.0,-1.312408976377144,0.9563891923974444,-1.01,0.99,0.050000000000000266,0.3700000000000001,4.49,4.76,86.0,68.0,80.0,-6.877323420074344
2008-03-31,0.9472912577738857,0.5873301808901887,5.207166853303469,5.834547070493046,-0.05789987372118999,-0.42676432089947536,-0.8072243450101824,2.0000000000000018,-0.09971458506449205,-0.6477909600407616,7.499999999999996,5.368647100930568,-1.3495726447443457,-9.919913075322118,13.822224934895843,-6.388519024050199,2.4865717110713392,-1.13,1.83,0.3400000000000001,0.8599999999999999,2.98,3.94,92.0,57.0,105.0,-0.7984031936127733
2008-06-30,1.8810202016416033,0.46823990299413865,6.705694518360827,37.82240350107937,1.0822601485135364,0.5954282618129358,-1.5554337669096752,9.80392156862746,-0.4043194919606252,-1.1428571428571455,1.2919896640826822,4.1440217391304435,-0.8692664490637325,-3.2282416835385908,-6.481842279773852,0.9192144911736033,0.9634564489003017,0.13,1.36,0.8800000000000001,0.7200000000000002,1.98,2.28,78.0,45.0,88.0,0.4024144869215096
2008-09-30,0.6502255556117609,0.5983548722519272,-1.7955112219451341,-28.11428615025111,0.22399212791917034,-0.5252580505168858,-6.32324316530627,8.92857142857142,-0.679748434980898,-1.6822291388765342,23.214285714285722,21.069797782126543,-3.2129488423679464,-8.878126144409181,64.46763313093935,9.646698802218733,1.6593063195681879,-0.2,1.85,0.9300000000000002,0.7999999999999998,2.0,2.01,93.0,52.0,72.0,-5.410821643286568
2008-12-31,-3.41698762318563,0.09782523429606726,-13.204672422549512,-55.68362604868167,-1.9517418586308954,-2.189026595298116,-3.1328294013527436,19.672131147540984,-1.4002427574911214,-3.203437099570361,10.351966873706008,21.55172413793103,-6.241122053118476,-22.558214329708537,1.5486179736064365,2.341095886464628,4.220915314949125,0.1,1.49,0.7899999999999999,0.7000000000000001,0.39,0.97,100.0,40.0,94.0,-26.906779661016955
2009-03-31,0.5189263853016657,0.6121931543159986,-1.6383850204798156,11.345294947099728,-1.2137490639680837,-1.1348742974823023,-4.587725899459971,19.17808219178081,-1.7464237246657355,-5.0303691013860785,24.76547842401502,16.88829787234043,-1.2183865608270228,-11.666759466682809,10.349998474121103,5.067030955957241,2.2145033516148827,0.24,1.9,0.7100000000000001,0.89,0.22,0.15,102.0,44.0,101.0,7.826086956521738
2009-06-30,1.0800254123626285,0.3935799278818708,3.5693039857227937,40.737010882795154,-0.3441642109412113,-0.1786509506351064,-2.075081329819173,9.195402298850585,-1.1208223892763325,-3.9603148573302716,-10.676691729323306,-9.252938945771705,1.9725607202005335,15.221779606988894,-40.30357783002317,-6.203913183688369,0.8680410650196091,0.1,2.42,1.0,1.53,0.18,0.15,118.0,64.0,76.0,24.462365591397827
2009-09-30,0.4986265654825628,0.3687611814962244,0.0,1.0301920546443188,0.47037681601218573,0.3511923951750484,3.197535034118837,3.157894736842115,-0.5801216728877123,-1.1354904806625155,-6.734006734006737,-8.483075637275384,-0.8992669362992922,14.984983208560209,-2.808348236831748,-4.342937535032332,0.027188368106845218,0.06,2.36,0.84,1.4100000000000001,0.16,0.16,119.0,77.0,70.0,18.574514038876888
2009-12-31,0.6884059649496788,0.43697708257548484,2.297530155083294,12.392012355707639,1.400572030417302,1.0809136508185713,0.9822377809642902,1.0204081632652962,-0.3370519090650892,-0.993091537132984,-15.523465703971118,-11.324200913242011,1.5361854900935557,5.488706809634025,-15.34556896334971,1.5786028185063028,0.5991632985889561,0.05,2.71,0.82,1.4699999999999998,0.12,0.12,116.0,81.0,66.0,1.6393442622950838
2010-03-31,0.0027605626026661056,-0.044367781746734725,2.919708029197099,5.544356718798937,0.7737292568026133,0.48450095056860043,2.147769049097703,0.0,0.043911007025765336,-0.22677714784125058,-1.9230769230769273,-3.1410916580844495,2.321856983156012,4.872215883284525,-18.86531409140001,4.122783276790631,0.1315712187959006,0.06,2.82,0.8099999999999999,1.4700000000000002,0.13,0.11,121.0,90.0,58.0,5.376344086021501
2010-06-30,-0.07085248420771739,0.18615563698292092,0.10911074740860283,-9.706309306904682,1.4601333865235766,0.9675861183124024,1.961156302282352,-5.05050505050505,0.49589958803373246,0.7867820613689958,1.089324618736387,-2.0733652312599715,-0.06199247497283844,-11.86219666009427,96.36157257477751,6.105830722678807,1.2283398054835137,0.01,2.36,0.6,1.28,0.2,0.2,114.0,95.0,57.0,-3.911564625850339
2010-09-30,0.49539822927360255,0.23373147553731322,0.7629427792915644,5.7384690267048954,1.077516157502112,0.7710849360473171,1.0336951991930743,1.0638297872340496,-0.12796052379528966,0.17347558331164414,-1.0775862068965525,-1.5200868621064068,1.1141000601884166,10.719794551502826,-31.383902331382984,-8.486393521559954,1.0488618979185071,0.0,2.11,0.32999999999999996,0.9299999999999999,0.19,0.18,103.0,88.0,70.0,-2.12389380530974
2010-12-31,1.0065284618027803,0.28505577080071287,2.595997836668462,14.267845265157941,1.108647186523859,0.5251102608268665,0.7951252136434439,-2.1052631578947323,0.3743996562888485,0.2597627500216415,-11.982570806100224,-7.331863285556784,1.6976845890327663,10.20330077625684,-25.105487643037062,0.39379770552165905,1.1928110197387376,0.01,2.69,0.48,1.31,0.19,0.19,114.0,91.0,68.0,2.350813743218816
2011-03-31,1.1674951921332388,0.4996784247761399,5.007907221929364,16.787047962743706,0.274170098855131,-0.23720489710901127,0.40260023335427775,-3.2258064516129115,0.34548650921042423,0.6909059504274895,-1.2376237623762387,-3.390838786436645,1.3545878600736971,5.422055644858914,-0.05633931764414957,-4.011132757066093,1.633249838488493,0.02,2.67,0.6,1.41,0.16,0.17,112.0,100.0,56.0,3.180212014134276
